Esperimento                   : HERD                                              
Denominazione                 :                                                   
Lotto                         :                                                   
Operatore                     : GG BARBI                                          
Nr.Pezzo                      :                                                   
Point                          X=    265.150                                  
quad02_lad0_si0_0              Y=    269.899                              
(4)                            Z=      0.019
Point                          X=    265.130                                  
quad02_lad0_si0_1              Y=    172.395                              
(5)                            Z=     -0.035
Point                          X=    265.139                                  
quad02_lad0_si1_0              Y=    171.397                              
(6)                            Z=     -0.027
Point                          X=    265.055                                  
quad02_lad0_si1_1              Y=     73.896                              
(7)                            Z=      0.036
Point                          X=    362.557                                  
quad02_lad0_si1_2              Y=     73.819                              
(8)                            Z=     -0.032
Point                          X=    363.549                                  
quad02_lad1_si1_1              Y=     73.825                              
(9)                            Z=     -0.040
Point                          X=    362.636                                  
quad02_lad0_si1_3              Y=    171.314                              
(10)                           Z=     -0.155
Point                          X=    363.562                                  
quad02_lad1_si1_0              Y=    171.322                              
(11)                           Z=     -0.126
Point                          X=    362.625                                  
quad02_lad0_si0_2              Y=    172.374                              
(12)                           Z=     -0.103
Point                          X=    363.564                                  
quad02_lad1_si0_1              Y=    172.335                              
(13)                           Z=     -0.124
Point                          X=    362.649                                  
quad02_lad0_si0_3              Y=    269.874                              
(14)                           Z=     -0.103
Point                          X=    363.603                                  
quad02_lad1_si0_0              Y=    269.838                              
(15)                           Z=     -0.103
Point                          X=    461.100                                  
quad02_lad1_si0_3              Y=    269.800                              
(16)                           Z=      0.043
Point                          X=    461.061                                  
quad02_lad1_si0_2              Y=    172.298                              
(17)                           Z=     -0.024
Point                          X=    461.061                                  
quad02_lad1_si1_3              Y=    171.307                              
(18)                           Z=      0.017
Point                          X=    461.045                                  
quad02_lad1_si1_2              Y=     73.810                              
(19)                           Z=      0.123
Point                          X=    451.172                                  
quad02_hef1_1                  Y=    326.749                              
(20)                           Z=      1.397
Point                          X=    373.360                                  
quad02_hef1_0                  Y=    326.720                              
(21)                           Z=      1.196
Point                          X=    352.790                                  
quad02_hef0_1                  Y=    326.614                              
(22)                           Z=      1.248
Point                          X=    274.974                                  
quad02_hef0_0                  Y=    326.803                              
(23)                           Z=      1.311
