Esperimento                    : HERD
Denominazione                  :
Lotto                          :
Operatore                      : GG BARBI
Nr. Pezzo                      :
Point                           X=      265.084
quad04_lad0_si0_0               Y=      269.858
(4)                             Z=        0.004
Point                           X=      265.201
quad04_lad0_si0_1               Y=      172.357
(5)                             Z=       -0.085
Point                           X=      263.173
quad04_lad0_si1_0               Y=      171.282
(6)                             Z=       -0.087
Point                           X=      265.409
quad04_lad0_si1_1               Y=       73.784
(7)                             Z=       -0.001
Point                           X=      362.910
quad04_lad0_si1_2               Y=       74.019
(8)                             Z=       -0.142
Point                           X=      362.671
quad04_lad0_si1_3               Y=      171.516
(9)                             Z=       -0.159
Point                           X=      362.699
quad04_lad0_si0_2               Y=      172.469
(10)                            Z=       -0.162
Point                           X=      362.584
quad04_lad0_si0_3               Y=      269.969
(11)                            Z=       -0.036
Point                           X=      363.540
quad04_lad1_si0_0               Y=      269.982
(12)                            Z=       -0.042
Point                           X=      363.680
quad04_lad1_si0_1               Y=      172.480
(13)                            Z=       -0.096
Point                           X=      363.651
quad04_lad1_si1_0               Y=      171.545
(14)                            Z=       -0.147
Point                           X=      363.722
quad04_lad1_si1_1               Y=       74.048
(15)                            Z=       -0.136
Point                           X=      461.224
quad04_lad1_si1_2               Y=       74.118
(16)                            Z=        0.076
Point                           X=      461.152
quad04_lad1_si1_3               Y=      172.612
(17)                            Z=       -0.060
Point                           X=      461.178
quad04_lad1_si0_2               Y=      172.621
(18)                            Z=       -0.013
Point                           X=      461.036
quad04_lad1_si0_3               Y=      270.124
(19)                            Z=        0.008
