Esperimento                   : HERD                                              
Denominazione                 :                                                   
Lotto                         :                                                   
Operatore                     : GG                                                
Nr.Pezzo                      : QUAD04 REDO                                       
Point                          X=    461.074                                  
quad04_lad1_si0_3              Y=    271.094                              
(4)                            Z=      0.000
Point                          X=    363.576                                  
quad04_lad1_si0_0              Y=    270.896                              
(5)                            Z=     -0.074
Point                          X=    362.621                                  
quad04_lad0_si0_3              Y=    270.883                              
(6)                            Z=     -0.061
Point                          X=    265.120                                  
quad04_lad0_si0_0              Y=    270.712                              
(7)                            Z=     -0.014
Point                          X=    265.290                                  
quad04_lad0_si0_1              Y=    173.214                              
(8)                            Z=     -0.036
Point                          X=    265.269                                  
quad04_lad0_si1_0              Y=    172.138                              
(9)                            Z=     -0.045
Point                          X=    265.562                                  
quad04_lad0_si1_1              Y=     74.641                              
(10)                           Z=      0.022
Point                          X=    363.059                                  
quad04_lad0_si1_2              Y=     74.933                              
(11)                           Z=     -0.072
Point                          X=    363.876                                  
quad04_lad1_si1_1              Y=     74.962                              
(12)                           Z=     -0.093
Point                          X=    461.369                                  
quad04_lad1_si1_2              Y=     75.091                              
(13)                           Z=      0.108
Point                          X=    461.246                                  
quad04_lad1_si1_3              Y=    172.590                              
(14)                           Z=      0.011
Point                          X=    461.272                                  
quad04_lad1_si0_2              Y=    173.594                              
(15)                           Z=     -0.002
Point                          X=    363.769                                  
quad04_lad1_si0_1              Y=    173.393                              
(16)                           Z=     -0.066
Point                          X=    363.747                                  
quad04_lad1_si1_0              Y=    172.460                              
(17)                           Z=     -0.155
Point                          X=    362.768                                  
quad04_lad0_si1_3              Y=    172.430                              
(18)                           Z=     -0.143
Point                          X=    362.789                                  
quad04_lad0_si0_2              Y=    173.382                              
(19)                           Z=     -0.137
Point                          X=    274.719                                  
quad04_hef0_0                  Y=    327.616                              
(20)                           Z=      1.355
Point                          X=    352.546                                  
quad04_hef0_1                  Y=    327.790                              
(21)                           Z=      1.296
Point                          X=    373.403                                  
quad04_hef1_0                  Y=    327.848                              
(22)                           Z=      1.277
Point                          X=    451.225                                  
quad04_hef1_1                  Y=    328.029                              
(23)                           Z=      1.315
