Esperimento                   : HERD                                              
Denominazione                 :                                                   
Lotto                         :                                                   
Operatore                     : GG                                                
Nr.Pezzo                      : QUAD05                                            
Point                          X=    290.136                                  
quad05_lad0_si0_0              Y=    267.715                              
(4)                            Z=     -0.046
Point                          X=    290.442                                  
quad05_lad0_si0_1              Y=    170.213                              
(5)                            Z=      0.095
Point                          X=    290.511                                  
quad05_lad0_si1_0              Y=    169.192                              
(6)                            Z=      0.089
Point                          X=    290.805                                  
quad05_lad0_si1_1              Y=     71.694                              
(7)                            Z=      0.001
Point                          X=    388.308                                  
quad05_lad0_si1_2              Y=     71.987                              
(8)                            Z=     -0.057
Point                          X=    389.183                                  
quad05_lad1_si1_1              Y=     72.053                              
(9)                            Z=     -0.027
Point                          X=    388.935                                  
quad05_lad1_si1_0              Y=    169.551                              
(10)                           Z=      0.058
Point                          X=    388.009                                  
quad05_lad0_si1_3              Y=    169.485                              
(11)                           Z=      0.047
Point                          X=    387.937                                  
quad05_lad0_si0_2              Y=    170.515                              
(12)                           Z=      0.027
Point                          X=    388.915                                  
quad05_lad1_si0_1              Y=    170.532                              
(13)                           Z=      0.065
Point                          X=    388.580                                  
quad05_lad1_si0_0              Y=    268.031                              
(14)                           Z=      0.039
Point                          X=    387.631                                  
quad05_lad0_si0_3              Y=    268.015                              
(15)                           Z=      0.006
Point                          X=    486.082                                  
quad05_lad1_si0_3              Y=    268.371                              
(16)                           Z=     -0.028
Point                          X=    486.420                                  
quad05_lad1_si0_2              Y=    170.872                              
(17)                           Z=      0.140
Point                          X=    486.432                                  
quad05_lad1_si1_3              Y=    169.801                              
(18)                           Z=      0.140
Point                          X=    486.684                                  
quad05_lad1_si1_2              Y=     72.303                              
(19)                           Z=      0.265
Point                          X=    476.034                                  
quad05_hef1_1                  Y=    325.117                              
(20)                           Z=      1.219
Point                          X=    398.207                                  
quad05_hef1_0                  Y=    324.962                              
(21)                           Z=      1.209
Point                          X=    377.545                                  
quad05_hef0_1                  Y=    324.908                              
(22)                           Z=      1.211
Point                          X=    299.731                                  
quad05_hef0_0                  Y=    324.489                              
(23)                           Z=      1.199
